City_ID,City,Country,Max Temp,Current Description,Latitude,Longitude,Hotel Name
0,kanye,BW,87.85,overcast clouds,-24.9667,25.3327,The Savanna Lodge
1,ratnagiri,IN,75.51,few clouds,16.9833,73.3,Hotel Landmark
2,yulara,AU,75.67,clear sky,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
3,rikitea,PF,76.68,few clouds,-23.1203,-134.9692,People ThankYou
4,mahebourg,MU,80.26,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
5,atuona,PF,77.9,clear sky,-9.8,-139.0333,Villa Enata
6,santa ines,BR,83.64,light rain,-3.6667,-45.38,Palace hotel
7,alofi,NU,80.19,overcast clouds,-19.0595,-169.9187,Taloa Heights
8,harper,LR,84.42,light rain,4.375,-7.7169,Screensaver
9,alta gracia,AR,82.89,broken clouds,-31.6529,-64.4283,Hotel Ritz
10,biltine,TD,81.23,clear sky,14.5333,20.9167,Hôtel Trois Étoiles de Biltine
11,arraial do cabo,BR,78.42,overcast clouds,-22.9661,-42.0278,Pousada Porto Praia
12,butaritari,KI,81.37,overcast clouds,3.0707,172.7902,Isles Sunset Lodge
13,bengkulu,ID,76.68,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
14,necochea,AR,78.04,clear sky,-38.5473,-58.7368,dyd -mar Hotel
15,meulaboh,ID,77.23,scattered clouds,4.1363,96.1285,Kost Pria
16,rocha,UY,75.0,clear sky,-34.4833,-54.3333,Hotel Arrarte
17,nouakchott,MR,85.93,overcast clouds,18.0858,-15.9785,HOTEL IMAN
18,vaini,TO,78.96,light rain,-21.2,-175.2,Keleti Beach Resort
19,carmen,MX,76.24,broken clouds,18.6333,-91.8333,Hotel Lossandes
20,cape town,ZA,77.11,few clouds,-33.9258,18.4232,Southern Sun Waterfront Cape Town
21,carutapera,BR,83.07,broken clouds,-1.195,-46.02,Lidera
22,paracuru,BR,79.11,broken clouds,-3.41,-39.0306,Hotel Vento Brasil
23,cam ranh,VN,75.16,scattered clouds,11.9214,109.1591,OYO 598 Peony Hotel
24,mormugao,IN,78.06,clear sky,15.4,73.8,Coconut Creek Resort
25,isugod,PH,76.15,broken clouds,9.3408,118.1196,
26,mount isa,AU,87.57,clear sky,-20.7333,139.5,ibis Styles Mt Isa Verona
27,souillac,MU,80.37,scattered clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
28,santa ana de yusguare,HN,87.69,clear sky,13.3006,-87.1139,Centro de yusguare
29,noumea,NC,81.0,broken clouds,-22.2763,166.4572,Hôtel Le Lagon
30,sambava,MG,78.78,moderate rain,-14.2667,50.1667,Melrose
31,mwaya,TZ,79.7,light rain,-9.55,33.95,
32,porto novo,BJ,87.31,broken clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
33,tucupita,VE,84.2,clear sky,9.0622,-62.051,Hotel Tucupita Su​ite C.A.
34,castro,BR,82.11,few clouds,-24.7911,-50.0119,CHACARA BAILLY
35,georgetown,MY,82.89,few clouds,5.4112,100.3354,Cititel Penang
36,carnarvon,AU,82.76,clear sky,-24.8667,113.6333,Hospitality Carnarvon
37,nicoya,CR,85.55,clear sky,10.1483,-85.452,Las Cabinas Del Sueño
38,wewak,PG,78.71,overcast clouds,-3.5534,143.6268,In Wewak Boutique Hotel
39,hermanus,ZA,76.89,scattered clouds,-34.4187,19.2345,Misty Waves Boutique Hotel
40,bambous virieux,MU,80.22,scattered clouds,-20.3428,57.7575,Casa Tia Villa
41,tena,EC,75.36,overcast clouds,-0.9833,-77.8167,Hostal Tena Ñaui
42,sao filipe,CV,76.05,broken clouds,14.8961,-24.4956,Hotel Xaguate
43,beloha,MG,75.85,overcast clouds,-25.1667,45.05,
44,saint-philippe,RE,81.21,broken clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
45,sao joao da barra,BR,89.69,overcast clouds,-21.6403,-41.0511,Pousada Porto De Canoas
46,majene,ID,77.34,heavy intensity rain,-3.5403,118.9707,Kost Putri RABBANI
47,ambon,ID,80.31,overcast clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
48,hithadhoo,MV,82.54,overcast clouds,-0.6,73.0833,Scoop Guest House
49,ambilobe,MG,75.31,moderate rain,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
50,neuquen,AR,87.69,clear sky,-38.9516,-68.0591,Hotel del Comahue
51,nanyamba,TZ,80.76,overcast clouds,-10.6833,39.8333,Busati Lodge Nanyamba
52,adrar,MR,76.08,overcast clouds,20.5022,-10.0711,
53,kloulklubed,PW,75.7,overcast clouds,7.0419,134.2556,Storyboard Beach Resort
54,puerto ayora,EC,78.76,overcast clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
55,iracoubo,GF,79.56,broken clouds,5.4802,-53.2011,Le Gîte d’Iracoubo
56,campo grande,BR,85.55,scattered clouds,-20.4428,-54.6464,Hotel Harbor Self Buriti Suítes Campo Grande
57,kavieng,PG,81.28,light rain,-2.5744,150.7967,Nusa Island Retreat
58,vilhena,BR,77.63,overcast clouds,-12.7406,-60.1458,Hotel Mirage
59,atar,MR,80.15,overcast clouds,20.5169,-13.0499,Oumou Elghoura
60,sal rei,CV,80.8,overcast clouds,16.1833,-22.9167,Marine Club Beach Resort
61,bitung,ID,77.85,broken clouds,1.4451,125.1824,K2 Lembeh
62,bandarbeyla,SO,77.94,broken clouds,9.4942,50.8122,JABIR HOTEL
63,biak,ID,76.82,scattered clouds,-0.9131,122.8766,Penginapan Kim
64,faanui,PF,80.11,clear sky,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
65,werda,BW,81.59,light rain,-25.2667,23.2833,
66,cockburn town,TC,78.75,clear sky,21.4612,-71.1419,Osprey Beach Hotel
67,moerai,PF,78.49,overcast clouds,-22.4333,-151.3333,Le Manotel
68,buala,SB,79.74,moderate rain,-8.145,159.5921,Maringe Lagoon Lodge
69,tual,ID,82.83,overcast clouds,-5.6667,132.75,Grand Vilia Hotel
70,padang,ID,77.83,scattered clouds,-0.9492,100.3543,Mercure Padang
71,tautira,PF,77.02,clear sky,-17.7333,-149.15,Pension Oaoa
72,gamba,GA,80.02,light rain,-2.65,10.0,
73,bandung,ID,75.11,overcast clouds,-6.9039,107.6186,Amaroossa Hotel
74,porto velho,BR,86.05,broken clouds,-8.7619,-63.9039,Hotel Central
75,cayenne,GF,84.24,overcast clouds,4.9333,-52.3333,Hôtel Le Dronmi
76,sechura,PE,77.7,few clouds,-5.5569,-80.8222,Hospedaje Costa Bella
77,honiara,SB,78.73,overcast clouds,-9.4333,159.95,Heritage Park Hotel
78,nosy varika,MG,79.3,moderate rain,-20.5833,48.5333,Hotel Volazara
79,imbituba,BR,85.82,scattered clouds,-28.24,-48.6703,Praia Hotel Imbituba
80,natal,BR,87.17,broken clouds,-5.795,-35.2094,Villa Park Hotel | Natal
81,kavaratti,IN,81.23,few clouds,10.5669,72.642,Hotels in Lakshadweep Islands
82,kendari,ID,75.52,overcast clouds,-3.945,122.4989,Hotel Wixel
83,ipixuna,BR,84.15,overcast clouds,-1.7625,-48.8043,Casa da Oscarina
84,pisco,PE,76.01,clear sky,-13.7,-76.2167,Hotel San Isidro Oficial
85,sao felix do xingu,BR,84.25,broken clouds,-6.6447,-51.995,Rio Xingu Camping
86,itapipoca,BR,87.58,overcast clouds,-3.4944,-39.5786,Hotel Pilotos
87,bara,NG,87.84,overcast clouds,10.3744,10.7288,
88,champerico,GT,87.35,broken clouds,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
89,alta floresta,BR,83.37,scattered clouds,-9.8756,-56.0861,Floresta Amazonica Hotel
90,isabela,PH,77.79,scattered clouds,6.7085,121.9711,Isawad Resort
91,santa cruz,BO,82.45,broken clouds,-17.8,-63.1667,Aviador Hotel Boutique
92,sola,VU,81.84,overcast clouds,-13.8833,167.55,Leumerus Bungalows
93,manta,EC,80.38,scattered clouds,-0.95,-80.7333,Balandra Hotel
94,moussoro,TD,82.53,broken clouds,13.6408,16.4901,Hôtel Salama
95,quatre cocos,MU,80.1,overcast clouds,-20.2078,57.7625,Sunrise Attitude Hotel
96,touros,BR,86.9,broken clouds,-5.1989,-35.4608,INN NEW HORIZON
97,kieta,PG,79.16,light rain,-6.2167,155.6333,Uruna Bay Retreat
98,kandrian,PG,79.18,light rain,-6.2167,149.55,Kandrian Station
