City_ID,City,Country,Latitude,Longitude,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,mangrol,IN,21.1167,70.1167,73.35,81,16,6.53,few clouds
1,mataura,NZ,-46.1927,168.8643,52.48,92,97,5.12,overcast clouds
2,kanye,BW,-24.9667,25.3327,87.85,22,85,5.3,overcast clouds
3,ratnagiri,IN,16.9833,73.3,75.51,74,21,5.06,few clouds
4,were ilu,ET,10.6,39.4333,55.04,82,81,6.44,moderate rain
5,ushuaia,AR,-54.8,-68.3,57.67,41,11,7.25,few clouds
6,new norfolk,AU,-42.7826,147.0587,58.91,62,100,1.01,overcast clouds
7,bluff,NZ,-46.6,168.3333,52.81,70,51,15.59,broken clouds
8,yulara,AU,-25.2406,130.9889,75.67,29,0,12.21,clear sky
9,atasu,KZ,48.6814,71.6433,2.43,99,77,4.61,broken clouds
10,baymak,RU,52.5933,58.3225,-2.36,99,100,5.84,overcast clouds
11,te anau,NZ,-45.4167,167.7167,47.82,86,70,3.62,broken clouds
12,bayburt,TR,40.2589,40.2278,15.17,80,25,4.07,scattered clouds
13,rikitea,PF,-23.1203,-134.9692,76.68,66,11,4.14,few clouds
14,punta arenas,CL,-53.15,-70.9167,60.12,44,93,17.69,overcast clouds
15,victoria,HK,22.2855,114.1577,69.19,84,0,3.0,clear sky
16,hilo,US,19.7297,-155.09,67.12,79,0,7.0,clear sky
17,leningradskiy,RU,69.3833,178.4167,9.21,86,71,3.36,broken clouds
18,mahebourg,MU,-20.4081,57.7,80.26,83,40,6.91,scattered clouds
19,caluquembe,AO,-13.7833,14.6833,69.24,81,89,6.29,light rain
20,atuona,PF,-9.8,-139.0333,77.9,78,9,15.21,clear sky
21,albany,US,42.6001,-73.9662,40.8,76,100,1.99,overcast clouds
22,mar del plata,AR,-38.0023,-57.5575,66.87,70,0,11.01,clear sky
23,santa ines,BR,-3.6667,-45.38,83.64,78,54,2.71,light rain
24,pangnirtung,CA,66.1451,-65.7125,6.94,90,100,3.02,overcast clouds
25,saskylakh,RU,71.9167,114.0833,-25.35,95,99,21.07,overcast clouds
26,alofi,NU,-19.0595,-169.9187,80.19,79,90,10.4,overcast clouds
27,harper,LR,4.375,-7.7169,84.42,67,74,7.7,light rain
28,saint george,US,37.1041,-113.5841,36.07,50,10,1.05,clear sky
29,hobart,AU,-42.8794,147.3294,59.25,72,90,5.75,overcast clouds
30,alta gracia,AR,-31.6529,-64.4283,82.89,21,78,9.71,broken clouds
31,biltine,TD,14.5333,20.9167,81.23,18,5,8.43,clear sky
32,glens falls,US,43.3095,-73.644,42.03,78,100,1.99,overcast clouds
33,sitka,US,57.0531,-135.33,2.86,90,12,10.0,few clouds
34,bethel,US,41.3712,-73.414,39.78,91,100,1.99,light snow
